pm10,pm25,so2,co,o3,no2,categori
72,103,55,11,24,19,TIDAK SEHAT
68,103,55,8,23,13,TIDAK SEHAT
64,92,54,7,24,16,SEDANG
65,89,54,8,21,16,SEDANG
60,81,54,8,21,20,SEDANG
68,99,55,9,27,15,SEDANG
64,78,55,9,19,17,SEDANG
77,115,56,8,20,12,TIDAK SEHAT
72,102,56,12,20,20,TIDAK SEHAT
75,110,56,17,21,29,TIDAK SEHAT
67,95,56,14,22,19,SEDANG
71,99,56,12,24,12,SEDANG
77,106,57,12,25,16,TIDAK SEHAT
80,106,56,11,24,12,TIDAK SEHAT
71,91,56,10,19,19,SEDANG
60,81,56,11,16,20,SEDANG
35,55,55,10,14,15,SEDANG
59,78,56,17,16,34,SEDANG
70,97,56,12,24,15,SEDANG
79,106,56,12,22,18,TIDAK SEHAT
67,91,56,9,21,16,SEDANG
66,98,57,10,20,15,SEDANG
74,107,56,11,24,13,TIDAK SEHAT
45,62,54,8,13,20,SEDANG
58,77,54,11,15,24,SEDANG
61,76,54,11,17,25,SEDANG
52,73,55,12,19,29,SEDANG
,73,55,19,17,67,SEDANG
,72,55,13,16,50,SEDANG
